index,title,original_title,budget,id,genre,language,homepage,overview,popularity,runtime,revenue,release_date,vote_average,vote_count,spoken_languages,production_countries,web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization
24,"Cyrano, My Love",Edmond,0,544510,"'Comedy', 'History'",fr,http://roadsideattractions.com/filmography/cyranomylove,"Paris, France, December 1897. The young playwright Edmond Rostand feels like a failure. Inspiration has abandoned him. Married and father of two children, desperate and penniless, he persuades the great actor Constant Coquelin to perform the main role in his new play. But there is a problem: Coquelin wants to premiere it at Christmas and Edmond has not written a single word.",8.618,113,0,2018-11-10,7.5,464,"'French', 'Russian'","'Belgium', 'France'",https://www.nytimes.com/2019/10/17/movies/cyrano-my-love-review.html,This superficial take on the writing and initial staging of “Cyrano de Bergerac” is a whirlwind of soapy declarations and backstage chaos.,The New York Times,"subject: Movies;creative_works: Cyrano, My Love (Movie);persons: Michalik, Alexis;",2019-10-17T11:00:03+0000,291,"‘Cyrano, My Love’ Review: A Nose for Romance",,,"Cyrano, My Love",,,,By Jeannette Catsoulis,
25,Wife of a Spy,スパイの妻,0,688301,"'Drama', 'War', 'Thriller'",ja,https://intl.nikkatsu.com/sales/358.html,"It’s 1940, and the population of Japan is divided over its entry into World War II. Satoko, the wife of a fabric merchant, is devoted to her husband but is beginning to suspect he’s up to something. Soon she allows herself to be drawn into a game in which she enigmatically conceals her intentions.",13.631,114,0,2020-10-16,6.5,75,"'English', 'Japanese'",'Japan',https://www.nytimes.com/2021/09/16/movies/wife-of-a-spy-review-trust-or-fear-in-love-and-war.html,"In this latest work by Kiyoshi Kurosawa, a Japanese couple’s relationship is shaped by the forces of churning nationalism that surround it.",The New York Times,"subject: Movies;persons: Kurosawa, Kiyoshi;creative_works: Wife of a Spy (Movie);",2021-09-16T11:00:07+0000,448,‘Wife of a Spy’ Review: Trust or Fear in Love and War?,Critic’s Pick,,Marriage Amid Nationalism,,,,By Glenn Kenny,
26,The Mountain Between Us,The Mountain Between Us,35000000,290512,"'Drama', 'Adventure', 'Romance'",en,http://MountainBetweenUs.com,"Stranded on a mountain after a tragic plane crash, two strangers must work together to endure the extreme elements of the remote, snow-covered terrain. When they realize help is not coming, they embark on a perilous journey across hundreds of miles of wilderness, pushing each other to survive and discovering their inner strength.",26.194,109,62832209,2017-10-05,6.6,2201,'English','United States of America',https://www.nytimes.com/2017/10/05/movies/the-mountain-between-us-review-kate-winslet-idris-elba.html,Idris Elba and Kate Winslet crash into a mountain — and each other — in this drama.,The New York Times,"subject: Movies;creative_works: The Mountain Between Us (Movie);persons: ABU-ASSAD, HANY;persons: Elba, Idris;persons: Winslet, Kate;",2017-10-05T11:00:05+0000,272,Review: Love in a Cold Climate in ‘The Mountain Between Us’,,,The Mountain Between Us,,,,By Jeannette Catsoulis,
27,Hope Gap,Hope Gap,0,537140,'Drama',en,https://www.originpictures.co.uk/hope-gap,A couple's visit with their son takes a dramatic turn when the father tells him he plans on leaving his mother.,8.987,100,1136167,2019-10-03,6.346,114,'English',"'United Kingdom', 'United States of America'",https://www.nytimes.com/2020/03/05/movies/hope-gap-review-a-thin-line-between-love-and-war.html,Annette Bening and Bill Nighy play a couple that has lost its way after 29 years of marriage.,The New York Times,"subject: Movies;persons: Bening, Annette;persons: Nighy, Bill;persons: Nicholson, William (1948- );creative_works: Hope Gap (Movie);",2020-03-05T12:00:03+0000,257,‘Hope Gap’ Review: A Thin Line Between Love and War,,,Hope Gap,,,,By Aisha Harris,
28,How to Train Your Dragon: The Hidden World,How to Train Your Dragon: The Hidden World,129000000,166428,"'Animation', 'Family', 'Adventure'",en,https://www.howtotrainyourdragon.com/,"As Hiccup fulfills his dream of creating a peaceful dragon utopia, Toothless’ discovery of an untamed, elusive mate draws the Night Fury away. When danger mounts at home and Hiccup’s reign as village chief is tested, both dragon and rider must make impossible decisions to save their kind.",61.277,104,524580592,2019-01-03,7.8,5899,'English','United States of America',https://www.nytimes.com/2019/02/20/movies/how-to-train-your-dragon-hidden-world-review.html,The third in this franchise concerns the exigencies that poor Hiccup must face as the leader of Berk.,The New York Times,"subject: Movies;persons: DeBlois, Dean;persons: Baruchel, Jay;persons: ABRAHAM, F MURRAY;persons: Ferrera, America;creative_works: How to Train Your Dragon: The Hidden World (Movie);",2019-02-21T00:02:36+0000,531,‘How to Train Your Dragon: The Hidden World’ Review: A Series Scales Up,,,Love Takes Wing Amid Trouble in Utopia,,,,By Ben Kenigsberg,
29,Monday,Monday,0,550524,"'Drama', 'Romance'",en,https://www.monday.movie,"A spark on a Friday can lead to a sizzling weekend fling, but what happens when you get to the inevitable Monday?",10.83,116,0,2020-09-11,6.666,151,"'English', 'Greek'","'Greece', 'United Kingdom', 'United States of America'",https://www.nytimes.com/2021/04/15/movies/monday-review.html,"Fiery physical contact keeps an expat couple together in Greece, and the sex scenes are enough for a half-dozen movies.",The New York Times,"subject: Movies;persons: Papadimitropoulos, Argyris;persons: Stan, Sebastian;persons: Gough, Denise (1980- );creative_works: Monday (Movie);",2021-04-15T11:00:08+0000,349,‘Monday’ Review: A Year of Love and Its Hangovers,,,Monday,,,,By Glenn Kenny,
30,My Policeman,My Policeman,0,744114,"'Drama', 'Romance'",en,https://www.amazon.com/dp/B09Y8SHDPD,"In the late 1990s, the arrival of elderly invalid Patrick into Marion and Tom’s home triggers the exploration of seismic events from 40 years previous: the passionate relationship between Tom and Patrick at a time when homosexuality was illegal.",13.643,113,0,2022-10-20,7.761,593,'English',"'United Kingdom', 'United States of America'",https://www.nytimes.com/2022/10/20/movies/my-policeman-review.html,"A schoolteacher, her police officer husband and his lover deny each other romantic satisfaction in this dismal melodrama.",The New York Times,"subject: Movies;creative_works: My Policeman (Movie);persons: Grandage, Michael;",2022-10-20T16:52:51+0000,303,"‘My Policeman’ Review: Two Love Affairs, Equally Tragic",,,My Policeman,,,,By Teo Bugbee,
31,Paris 05:59 Théo & Hugo’ Finds Two Men Out to Get Luck,Théo et Hugo dans le même bateau,0,382892,'Drama',fr,,"Théo and Hugo meet in a club and form an immediate bond. Once the desire and elation of this first moment has passed, the two young men, now sober, wander through the empty streets of nocturnal Paris, having to confront the love they sense blossoming between them.",9.676,97,0,2016-04-27,6.825,97,'French','France',https://www.nytimes.com/2017/01/26/movies/paris-0559-theo-hugo-review.html,"The movie features its title characters meeting in a sex club, then venturing out into the Paris night for a more intimate assessment.",The New York Times,"subject: Movies;persons: Ducastel, Olivier;persons: Martineau, Jacques;",2017-01-26T21:59:30+0000,464,Review: ‘Paris 05:59 Théo & Hugo’ Finds Two Men Out to Get Lucky,,,"First Make Love, Then Fall in Love?",,,,By Jeannette Catsoulis,
32,"Ariana Grande: Excuse Me, I Love You","ariana grande: excuse me, i love you",0,774372,"'Music', 'Documentary'",en,https://www.netflix.com/title/81238721,Ariana Grande takes the stage in London for her Sweetener World Tour and shares a behind-the-scenes look at her life in rehearsal and on the road.,11.98,97,0,2020-12-21,8.1,334,'English','United States of America',https://www.nytimes.com/2020/12/21/movies/review-ariana-grande-excuse-me-i-love-you.html,"Sometimes it’s enough to adore a pop star from afar, even if you aren’t an Arianator.",The New York Times,"subject: Pop and Rock Music;subject: Documentary Films and Programs;creative_works: Ariana Grande: Excuse Me, I Love You (Movie);persons: Grande, Ariana;persons: Dugdale, Paul (1980- );subject: Content Type: Personal Profile;",2020-12-22T03:50:45+0000,380,"‘Ariana Grande: Excuse Me, I Love You’ Review: It’s Mutual",Streaming,,"Excuse Me, the Feeling Is Mutual",,,,By Chris Azzopardi,
33,Love & Taxes,ลอง ลีฟ เลิฟว์,0,1026961,"'Romance', 'Comedy'",th,https://longlivelovethailanddrama.splashthat.com,"A story about a party-animal Sati, a man whose attitude has left a broken family at home. Meta, his wife, is preparing to leave him. At age 15, his daughter, Namo is already jaded from a lifetime of broken promises.",25.972,135,2122023,2023-06-29,8.133,15,'Thai','Thailand',https://www.nytimes.com/2017/03/02/movies/love-taxes-review.html,Josh Kornbluth runs afoul of the Internal Revenue Service after failing to file tax returns for seven years.,The New York Times,"creative_works: Love & Taxes (Movie);persons: Kornbluth, Jacob;subject: Movies;persons: Kornbluth, Josh;",2017-03-02T21:44:18+0000,246,Review: It’s All Mirth and Taxes in ‘Love & Taxes’,,,"It’s Inevitable, Mirth and Taxes",,,,By Ken Jaworowski,
34,"Berlin, I Love You","Berlin, I Love You",0,401686,'Drama',en,,An anthology feature of 10 stories of romance set in the German capital.,7.791,120,163908,2019-02-08,4.7,73,"'English', 'German'","'Germany', 'United States of America'",https://www.nytimes.com/2019/02/07/movies/berlin-i-love-you-review.html,"The once-divided nature of Berlin isn’t given much consideration in this film, part of the Cities of Love series.",The New York Times,"subject: Movies;creative_works: Berlin, I Love You (Movie);persons: Agron, Dianna;persons: Knightley, Keira;persons: Luna, Diego;persons: Mirren, Helen;persons: Rourke, Mickey;persons: Wilson, Luke;",2019-02-07T12:00:01+0000,227,"‘Berlin, I Love You’ Review: Many Stories, Not Much Feeling",,,"Berlin, I Love You",,,,By Glenn Kenny,
35,Godard Mon Amour,Le Redoutable,12840746,416186,"'Drama', 'Romance', 'Comedy'",fr,,"In 1967, during the making of “La Chinoise,” film director Jean-Luc Godard falls in love with 19-year-old actress Anne Wiazemsky and marries her.",11.216,108,82264,2017-06-24,6.661,330,"'Czech', 'French', 'English', 'Italian'","'Myanmar', 'France'",https://www.nytimes.com/2018/04/18/movies/godard-mon-amour-review.html,A portrait of a filmmaker in crisis that might have worked better as a comedy sketch.,The New York Times,"subject: Movies;creative_works: Godard Mon Amour (Movie);persons: Hazanavicius, Michel;persons: Godard, Jean-Luc;persons: Wiazemsky, Anne;persons: Garrel, Louis;",2018-04-18T23:02:46+0000,937,"Review: If You Love Godard, You’ll Hate-Watch ‘Godard Mon Amour’",,,"A Portrait and, for Some, a Hate-Watch",,,,By A.O. Scott,
36,Five Feet Apart,Five Feet Apart,7000000,527641,"'Romance', 'Drama'",en,,"Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",40.528,116,92600000,2019-03-14,8.282,5304,"'English', 'Spanish', 'French'",'United States of America',https://www.nytimes.com/2019/03/14/movies/five-feet-apart-review.html,Haley Lu Richardson and Cole Sprouse navigate the rules of attraction and of a hospital in this film about living with cystic fibrosis.,The New York Times,"subject: Movies;creative_works: Five Feet Apart (Movie);persons: Baldoni, Justin;",2019-03-14T13:00:07+0000,258,‘Five Feet Apart’ Review: Ailing Teenagers Live Dangerously for Love,,,Five Feet Apart,,,,By Ben Kenigsberg,
37,Two of Us,L'Amour et les Forêts,0,989672,"'Thriller', 'Drama', 'Romance'",fr,,"When Blanche meets Grégoire, she thinks she has found the one. The ties that bind them grow quickly, and a passionate affair ensues. Together, they relocate. For Blanche, far from her family, from her twin sister, Rose, a new life begins. But little by little, she finds herself caught in the grip of a deeply possessive and dangerous man.",15.491,105,0,2023-05-24,7.039,141,'French','France',https://www.nytimes.com/2021/02/04/movies/two-of-us-review-thwarted-love.html,An older lesbian couple is met with unexpected devastation in this aching romantic drama by Filippo Meneghetti.,The New York Times,"subject: Movies;persons: Sukowa, Barbara;creative_works: Two of Us (Movie);persons: Meneghetti, Filippo;",2021-02-04T12:00:03+0000,313,‘Two of Us’ Review: Thwarted Love,,,Two of Us,,,,By Beatrice Loayza,
38,Stay Prayed Up,Stay Prayed Up,0,869628,'Documentary',en,,"Lena Mae “Mother” Perry, the backbone of her community, cooks for crowds, tends to the needy, and boy, can she sing! After 50 years leading the dynamic, down-home gospel group The Branchettes, the octogenarian powerhouse, armed with her unwavering faith, shows no signs of slowing down. Taking us inside her loving community while following the recording of the group’s first album, this film is bursting with warmth, joy, and soul-stirring gospel music.",0.6,73,0,2021-09-01,0.0,0,,,https://www.nytimes.com/2022/06/16/movies/stay-prayed-up-review.html,"A new documentary about the gospel ensemble the Branchettes and its guiding light, Lena Mae Perry, is a plain-spoken tribute.",The New York Times,"subject: Documentary Films and Programs;subject: Gospel Music;creative_works: Stay Prayed Up (Movie);subject: Content Type: Personal Profile;persons: Perry, Lena Mae;organizations: Branchettes (Music Group);persons: Anderson, DL (Filmmaker);persons: Durning, Matthew;",2022-06-16T11:00:08+0000,330,‘Stay Prayed Up’ Review: Spreading the Gospel of Love,,,Stay Prayed Up,,,,By Glenn Kenny,
39,Asia,2019 GFRIEND ASIA TOUR 'GO GO GFRIEND!',0,684527,'Music',ko,,"Go Go GFriend! is GFriend's 2nd Asia tour. The tour was held at South Korea, Malaysia, Singapore, Thailand, Hong Kong, Indonesia, Philippines, Taiwan, and Japan.",3.234,170,0,2019-05-19,7.344,32,'Korean',,https://www.nytimes.com/2021/06/10/movies/asia-review.html,This drama about a young single mother and a terminally ill daughter avoids sentimentalism but indulges heavily in dourness.,The New York Times,"subject: Movies;persons: Haas, Shira;persons: Pribar, Ruthy;persons: Yiv, Alena;",2021-06-10T11:00:15+0000,290,‘Asia’ Review: Tough Love and an Indecent Proposal,,,Asia,,,,By Devika Girish,
40,The In Between,The In Between,0,818750,"'Romance', 'Science Fiction', 'Drama'",en,https://www.netflix.com/title/81447264,"After surviving a car accident that took the life of her boyfriend, a teenage girl believes he's attempting to reconnect with her from the after world.",29.827,116,0,2022-02-11,7.389,637,'English','United States of America',https://www.nytimes.com/2022/02/11/movies/the-in-between-review.html,A teenage girl thinks that her dead boyfriend’s spirit is reaching out from the Great Beyond.,The New York Times,"persons: King, Joey;persons: Allen, Kyle (1994- );subject: Movies;persons: Posin, Arie;creative_works: The In Between (Movie);",2022-02-11T08:00:06+0000,285,‘The In Between’ Review: Love Never Dies,,,The In Between,,,,By Lena Wilson,
41,Anaïs in Love,Les Amours d’Anaïs,0,781453,"'Drama', 'Romance', 'Comedy'",fr,,A young woman struggling to stay on top of everything in her life meets a married publisher and begins an affair with him.,9.235,98,0,2021-09-15,6.234,128,'French','France',https://www.nytimes.com/2022/04/28/movies/anais-in-love-review.html,"A restless woman discovers herself in a seductive French romance that throws out the usual dusty script about women, desire and pleasure.",The New York Times,"subject: Movies;persons: Bourgeois-Tacquet, Charline;creative_works: Anais in Love (Movie);",2022-04-28T16:18:57+0000,842,‘Anaïs in Love’ Review: Portrait of a Woman on the Run,Critic’s Pick,,Portrait of a Restless Heart,,,,By Manohla Dargis,
42,I Love My Dad,I Love My Dad,0,876825,'Comedy',en,http://www.magpictures.com/ilovemydad/,A hopelessly estranged father catfishes his son in an attempt to reconnect.,9.975,90,0,2022-08-05,5.763,40,'English','United States of America',https://www.nytimes.com/2022/08/04/movies/i-love-my-dad-review.html,This comedy is a daddy-issues movie with a queasy premise truly made for these times.,The New York Times,"subject: Movies;persons: Oswalt, Patton;creative_works: I Love My Dad (Movie);persons: Morosini, James;",2022-08-04T11:00:05+0000,418,‘I Love My Dad’ Review: A Father Catfishes His Son,,,A Father Catfishes His Son. We Just Wait for the Ick.,,,,By Glenn Kenny,
43,Ordinary Love,Ordinary Love,0,588787,"'Drama', 'Romance'",en,https://bleeckerstreetmedia.com/ordinary-love-film,An extraordinary look at the lives of a middle-aged couple in the midst of the wife's breast cancer diagnosis.,13.049,92,0,2019-12-06,6.861,126,'English',"'Ireland', 'United Kingdom'",https://www.nytimes.com/2020/02/12/movies/ordinary-love-review.html,Lesley Manville and Liam Neeson play a married couple facing a cancer diagnosis.,The New York Times,"subject: Movies;creative_works: Ordinary Love (Movie);persons: Neeson, Liam;persons: Manville, Lesley;persons: D'Sa, Lisa Barros;persons: Leyburn, Glenn;",2020-02-12T19:46:45+0000,569,‘Ordinary Love’ Review: In Sickness and in Health,,,Old-Sweater Lives,,,,By A.O. Scott,
44,The Pink Cloud,A Nuvem Rosa,0,776490,"'Drama', 'Science Fiction'",pt,,"Giovana and Yago are strangers who share a spark after meeting at a party. When a deadly cloud mysteriously takes over their city, they are forced to seek shelter with only each other for company. As months pass and the planet settles into an extended quarantine, their world shrinks, and they are forced to come to terms with an accelerated timeline for their relationship. With all their other interactions governed by screens, and with the strain of isolation setting in, Giovana and Yago struggle to reinvent themselves and reconcile the differences that threaten to tear them apart.",2.638,105,0,2021-04-01,6.02,25,'Portuguese','Brazil',https://www.nytimes.com/2022/01/13/movies/the-pink-cloud-review.html,Iuli Gerbase’s first feature film reflects a funhouse-mirror image of our present lives.,The New York Times,"subject: Movies;creative_works: The Pink Cloud (Movie);persons: Gerbase, Iuli;",2022-01-13T12:00:05+0000,316,‘The Pink Cloud’ Review: Love in Lockdown,,,The Pink Cloud,,,,By Claire Shaffer,
45,Running Against the Wind,የነፋሱ ፍልሚያ,0,631831,'Drama',am,,"The film follows the fate of two boys, one of whom hopes to become an Olympic runner and the other a photographer.",2.247,112,0,2023-07-20,6.5,0,'Amharic',"'Ethiopia', 'Germany'",https://www.nytimes.com/2021/07/08/movies/running-against-the-wind-review.html,Two childhood best friends reunite in this unfocused yet uplifting sports drama by the filmmaker Jan Philipp Weyl.,The New York Times,"subject: Movies;creative_works: Running Against the Wind (Movie);persons: Weyl, Jan Philipp;",2021-07-08T11:00:05+0000,342,‘Running Against the Wind’ Review: Love and Friendship in Addis Ababa,,,Running Against the Wind,,,,By Beatrice Loayza,
46,"Frank & Lola,’ Retreading Old Groun",Cuando Frank conoció a Carlitos,0,1158529,"'Drama', 'Comedy', 'Music'",es,,"According to an anecdote that has been going around the Internet for several years, in 1934 Gardel was performing on NBC in New York when he was introduced to a young admirer who was eager to meet him. As it turns out, he was none other than 19-year-old Frank Sinatra. Nobody is certain about whether that meeting happened or not but rumor has it that during the night, Gardel and Sinatra were locked in a dressing room together.",2.348,72,0,2023-08-18,8.071,7,"'English', 'Italian', 'Spanish'","'Argentina', 'Mexico'",https://www.nytimes.com/2016/12/08/movies/frank-and-lola-review-michael-shannon-imogen-poots.html,"Frankie and Johnny’s story returns, written and directed by Matthew Ross, but not much has changed except the actors and how well they fit together.",The New York Times,"subject: Movies;persons: Shannon, Michael;creative_works: Frank & Lola (Movie);persons: Ross, Matthew (1976- );persons: Poots, Imogen;",2016-12-08T22:05:30+0000,554,"Review: ‘Frank & Lola,’ Retreading Old Ground",,,Tainted Love in Familiar Packaging,,,,By Manohla Dargis,
47,Loro,Loro,0,541660,'Drama',it,,"Internationally released Director's Cut of ""Loro 1"" and ""Loro 2"", which were released separately as two movies in Italy. The film talks about the group of businessmen and politicians – the Loro (Them) from the title – who live and act near to media tycoon and politician Silvio Berlusconi in the years between 2006 and 2009.",9.499,157,0,2018-09-13,6.683,259,'Italian',"'France', 'Italy'",https://www.nytimes.com/2019/09/19/movies/loro-review.html,Toni Servillo plays the former Italian Prime Minister Silvio Berlusconi in Paolo Sorrentino’s extravagant portrait.,The New York Times,"subject: Movies;creative_works: Loro (Movie);persons: Servillo, Toni;persons: Sorrentino, Paolo;persons: Berlusconi, Silvio;glocations: Italy;",2019-09-19T17:27:07+0000,820,"‘Loro’ Review: A Corrupt Leader, and the People Who Love Him",,,Corruption and Charisma Personified,,,,By A.O. Scott,
48,Asako I & II,寝ても覚めても,0,487850,"'Drama', 'Romance'",ja,http://www.netemosametemo.jp/,"College student Asako falls in love at first sight with Baku after meeting at a photography exhibit. Romance sparks between the two but doesn't last long when Baku suddenly disappears from her life. Two years later, she spots a man that bears a striking resemblance to him. Even though it is only his physical similarities to Baku that attracted her to him, she doesn't say so and starts dating the soft-spoken young man called Ryohei.",12.612,119,0,2018-09-01,6.9,149,"'Japanese', 'English'",'Japan',https://www.nytimes.com/2019/05/16/movies/asako-i-and-ii-review.html,The Japanese director Ryusuke Hamaguchi follows up his marathon “Happy Hour” with a story of love among young urbanites.,The New York Times,"subject: Movies;creative_works: Asako I & II (Movie);persons: Hamaguchi, Ryusuke;",2019-05-16T11:00:01+0000,547,‘Asako I & II’ Review: Double the Love (and the Heartbreak),Critic’s Pick,,Falling For a Drifter And His Lookalike,,,,By Glenn Kenny,
49,The Attachment Diaries,El apego,0,743040,"'Drama', 'Mystery', 'Thriller', 'Horror'",es,,"Argentina, 1970s. A desperate young woman goes to a clinic to have a clandestine abortion. As her pregnancy is already through the fourth month, the doctor refuses. Instead, she proposes to sell the baby to one of her clients and offers to provide shelter in her house until the child is born. Their disturbed personalities will become intertwined in a strange and dangerous relationship.",1.26,102,0,2021-10-07,4.0,2,'Spanish','Argentina',https://www.nytimes.com/2023/05/25/movies/the-attachment-diaries-review.html,"A gynecologist and her patient form a horrifyingly twisted connection in this batty, bloody Argentine melodrama.",The New York Times,"subject: Movies;creative_works: The Attachment Diaries (Movie);persons: Diment, Valentin Javier;",2023-05-25T11:00:03+0000,295,"‘The Attachment Diaries’ Review: Love, Sick",,,The Attachment Diaries,,,,By Jeannette Catsoulis,
